video_id,sentiment_score
2kyS6SvSYSE,0.0
1ZAPwfrtAFY,0.0
5qpjK5DgCt4,0.0
puqaWrEC7tY,-0.75
d380meD0W0M,0.0
gHZ1Qz0KiKM,0.0
39idVpFF7NQ,-0.3
nc99ccSXST0,0.0
jr9QtXwC9vc,0.5
TUmyygCMMGA,-0.3125
9wRQljFNDW8,0.0
VifQlJit6A0,-0.2
5E4ZBSInqUU,0.0
GgVmn66oK_A,0.0
TaTleo4cOs8,0.26633522727272724
kgaO45SyaO4,0.13636363636363635
ZAQs-ctOqXQ,0.16666666666666666
YVfyYrEmzgM,0.35
eNSN6qet1kE,0.0
B5HORANmzHw,0.0
vU14JY3x81A,0.0
6VhU_T463sU,0.0
_-aDHxoblr4,-0.6
JBZTZZAcFTw,0.35
lZ68j2J_GOM,-0.125
dRpNZV18N_g,0.0
fcVjitaM3LY,0.0
qeWvgZLz9yU,0.33482142857142855
iIxy3JN3-jc,0.0
n30k5CwLhS4,0.0
U0hAC8O7RoI,0.0
CBVGjS_EJok,0.0
n1WpP7iowLc,0.0
hz7ukDjuq4w,0.0
p2hJxyF7mok,0.19318181818181818
0mlNzVSJrT0,0.0
Om_zGhJLZ5U,0.0
e_7zHm7GsYc,0.7
dQvIbulWCM4,0.0
zZ9FciUx6gs,0.0
PaJCFHXcWmM,0.0
goP4Z5wyOlM,-0.2
NZFhMSgbKKM,0.0
0tO_l_Ed5Rs,-0.2
STI2fI7sKMo,0.15
BWPrk9PUwQE,0.0
ogYum4kWXgk,0.6666666666666666
sbcbvuitiTc,0.0
zNqCVTs38nU,0.0
DM-ni_LSOFE,0.0
0PpNlNJ6Nng,-0.625
c-3JxzN2u34,0.0
069D0NmW39o,0.5
9t9u_yPEidY,0.0
KODzih-pYlU,0.0
8NHA23f7LvU,0.0
w0XYVssCKjw,0.0
9XSULcLI6Hg,0.0
pjuPpVLXDQg,0.0
9xSx-5tmq44,0.0
4v0nOAzcG2A,0.41666666666666663
oTObwUiXdYY,-0.25
1cgK-BIrXes,0.0
ujyTQNNjjDU,0.0
PABlVzeldaM,0.0
6340tX9M_eM,0.0
8mhTWqWlQzU,0.0
t4YAyT4ihIQ,0.0
MNiweoKXwfg,-0.1
Jw1Y-zhQURU,0.0
2Vv-BfVoq4g,1.0
UFYCTJlayS4,0.5
cccyOn99s4Y,-0.16666666666666666
abGCYPCk294,0.0
lY_0mkYDZDU,0.0
k8NxqyGcZA4,0.0
IE-xepGLVt8,0.25
ObIQ0s02UHg,0.125
cOc3tsFWoRs,0.375
AJYb0Yom5UQ,0.5
gLswXiRLdkA,0.0
MyEqfBkzESU,0.0875
wJYE0sFOteE,0.0
L_5_slz4ke4,0.0
OKoL852K9uA,0.0
pa_oUisZZy0,0.5
fNtLIcyjsnI,-0.4
_Iz83-Cmt6A,-0.017045454545454548
YlvCVbfS9M0,-0.2777777777777778
arJ5h2TY3I4,0.0
-2RVw2_QyxQ,0.0
gEHCXl4J9Qo,0.13636363636363635
-OK9i1_YYYc,0.0
b4vTZx_AtHk,-0.06666666666666665
kOnQocd799Y,-0.3333333333333333
e4FApt6z55c,0.5
2XK4omx9uMU,0.175
xfmipNU4Odc,-0.390625
jp9hK-jY6yY,0.0
RkHuWjiR-LM,0.0
fCTKDn3Q8xQ,-0.4
DIU3xPdhCBI,0.0
wnwF1FHybDQ,0.0
9oFP-pOMNwE,0.0
pz95u3UVpaM,0.1
g5c1bk8weaQ,0.3125
yuBqWcSKrCk,0.0
x9mh-SwSKas,0.0
uiA4B5Y63IQ,0.0
viyRD5z6ilQ,0.0
QFfEtKvXMAs,0.2
xg9ebVTL9yE,0.0
fbHbTBP_u7U,-0.15555555555555556
Ja_GMU7-sjs,-0.625
QOksZ8VogRw,0.03750000000000003
RYs08kX3Ih4,0.0
tOFkFZbPdnQ,-0.15833333333333333
dW4wpGg64pE,0.0
2VP846QcA_4,0.0
_dhneCO4YEE,0.175
EYkEshCOhEU,0.0
Rq9-mW6HgQE,0.0
k29YnfttqEU,-0.3125
Eg_kW5fw6qU,0.0
J_QGZspO4gg,0.0
PkRBTF6nt4E,0.0
ozkqm2ifMw8,0.0
htvR_dBs3eg,0.0
qEEtzzi1EII,0.0
1Wk8ZRgXQnY,0.7
8l_e6bx8UG8,0.0
lsfzA7sWlOM,0.0
RQDphL2MVlM,0.0
X7flefV8tec,0.5
cYw-oyJ7AEY,0.25
6nJw-jPQYVI,0.0
5x1FAiIq_pQ,0.0
LMCuKltaY3M,0.3
6Detw08jRhs,0.0
vd4zwINEcLY,0.17045454545454544
7fm7mll2qvg,0.25
5gFpcEKayz4,0.1
eHIY3HNNqzM,0.0
q-WipZ9p0wk,0.0
zy0b9e40tK8,-0.15
rL4WkebTT_U,1.0
Y6eKxjMA9ek,0.75
Q6Usd3_fbq8,0.0
44NYFvhXmW8,0.0
9wg3v-01yKQ,0.0
F-j_6IuaYfw,0.1
_qSW96a2aKY,0.0
afgvlR9WmIQ,0.13636363636363635
_CJN_ryETIY,0.13636363636363635
P4YJwy_T9pM,0.0
YqH4eWR7jDQ,0.13636363636363635
r96KpNTcog4,0.0
B4gXsobd_ao,0.0
x8eLIJAM58M,0.0
6V_aZsATDsM,0.5
qg0GdM60syI,0.0
8j_BYfVEyhA,0.5
9ymjcSvEyhk,0.0
oB3SAI2oCqk,0.0
HNa_UWX51_s,0.0
08nkwgZIE4I,0.0
5Smb3tZD1Qc,0.25
YHDbsyyjld0,0.0
uyl6WtHEYOQ,0.35
bhoFXkVy8JA,0.0
_w58R1OGQFA,-0.1875
BEweWXa5Twk,0.0
egXr0PU-kCY,0.0
fIQ2Ty2OL34,0.875
d_j512i2k6c,-0.2
4d07RXYLsJE,0.0
DOIw62TXYkg,0.0
0lbJHqAGpbA,0.0
JuP1Z8xpRb8,0.1
CR9zYgr84QY,0.0
1640fZpYBSY,0.4732142857142857
M2-IpsWQUWs,-0.4
7m630xvAJtA,0.0
510KQ_LXGww,0.0
CO9dIyNM_9Q,0.0
hX643KbiI4s,0.24318181818181817
mwpHSMv1pI4,0.0
Mfiim71QdYQ,-0.1
UFPSIa1cLRQ,0.0
o78x918zbFk,-0.375
iNf6VErGDLI,0.0
6ixU_vdE0Es,0.0
wRGldR_SQAA,0.0
agKDPntMv-E,0.25
Xl38SuxyrgM,0.0
u7pV4vxD1bs,0.25
zYWt2mnalP8,0.0
PoNWU2cox9w,0.0
6hTzM1BPdU8,0.0
MCW5HUkrr-o,-0.39999999999999997
YvfYK0EEhK4,0.8
cxMvzK2OQTw,0.0
bAkEd8r7Nnw,-0.30000000000000004
ItYOdWRo0JY,0.0
5530I_pYjbo,0.0
dUMH6DVYskc,0.0
gjXrm2Q-te4,0.0
9SK1I0V6U5c,0.0
VsYmwBOYfW8,-0.3125
CtBca6H6Teg,0.6
pcWKpGzhgq4,0.0
L3br0klRqF4,0.13636363636363635
9kF9xY74h-E,-0.1953125
p2EY93WfBQk,0.3
xL_qpDkF5A8,0.0
eQVhAN7-IAw,0.1
Y9nDagqKL7Q,-0.3458333333333333
DbJ2s_g1oDc,0.0
KJ12FVmumeA,0.25
qDAxDcjgn-8,0.0
815lSYphlbw,0.05
E_86MEdNsAI,0.0
Cr9oGxr0Qa0,0.0
g0K5QoEj7FQ,0.1
l4bAoNAx2uo,-0.25
TSqwDQHE1J8,0.0
MltuW2kcREI,0.3
jGiqc3HSxEg,5.551115123125783e-17
XrDlDj9DfZs,0.5
Z3OZyb2iWqQ,0.0
Hq89wYzOjfs,0.3
vZzIS17HexE,0.0
yZGSIpcAfEo,0.0
zxUwbflE1SY,-0.05
7oRdswHqaf8,-0.05
qC0I5PEhkJo,1.0
0zk2SwmCpss,0.4375
SGVbdo2CkgI,0.35
NfLVVJOuY5M,0.5
F388-6yDDpc,-0.4
KhdecX0qjNA,-0.03787878787878788
kWIzjMWmuYk,0.0
symdi5KSJts,0.5
5hEJsoDP2q4,0.0
lBHPVE3AI6Y,0.0
kIUHDwn51y8,0.0
Lz7dya576HY,0.13636363636363635
kqmhCaF5_44,0.125
eAyxMv4IBH8,0.0
EJu_wPGFTw0,0.4166666666666667
MKLlDnUqho4,-0.2
wwZ-T_WQ03A,0.0
i-LCORFB860,0.0
vWYyZMH_QjA,0.0
VJlSq6h0LNg,0.0
ijJPFowBsBc,0.6249999999999999
HBS9783c0BI,0.0
JwboxqDylgg,0.17045454545454544
1WDj0DddCcM,0.0
bqgVB6Vl-lI,1.0
STI2fI7sKMo,0.0
ZhSk8mPSWCg,0.0
qooQd8AA7_M,0.0
9KIP-Ncp2jU,0.0
i4YQRLQVixM,0.0
Fyyua5JzD9w,0.0
9Th4qTv-4jE,0.7
uTH--XRCGxM,-0.05
ttf_EzEkxBk,0.0
l7je4VAUvjA,0.25
8-Cjsnq8kVU,-0.1
hpapqEeb36k,0.0
cmoknv58jjE,-0.65
sottGW1p5os,0.0
EEIP1YpFXrE,0.25
pgjRX9oGF7g,0.0
_BVAJ3PXZ1k,0.0
8hKbIhrb1WU,0.0
RTaDvKMtUeA,-0.3125
jG1JY0rt2Os,-0.17857142857142858
RrhSJzM8NLE,0.0
0gwkMY-mzUQ,0.0
UwdLlnPaRAU,0.0
ve3oQBjcAGI,-0.3333333333333333
C4YNcqNF4hg,0.5
k1cA-Wh3Tc0,-0.3125
Mn-3c6of8t8,0.0
TN5jzDgORqQ,0.0
9Ca8zWJOlFQ,1.0
mcqWcLDUeag,0.0
4SANXNco_y4,0.0
-oXybog2IuI,0.0
oRF2-ZloSqg,0.13636363636363635
lzgQrHFDNLE,0.4
0ANDjPQPS_Q,0.5
4ftGS_6i7mM,0.0
upEIZAihcwo,0.0
Jidk0O6uu-0,0.0
64IIfxDrhJY,0.0
k-w8GxCpsCU,0.55
yxFdue1dCtE,0.0
aAm6AHr14zY,0.07499999999999998
ryqZUqgjvW8,0.0
I-5CODzeGEE,0.0
FEjZiCPuvqQ,0.13636363636363635
ENr6CXm1YxU,0.2
3x0usYgljOk,0.425
R9c-_neaxeU,0.0
VonJ4ASDO40,0.5
iyrefjMs64k,0.0
GKUE2U2qlzY,0.5
N0tmF4j4K6g,0.0
SFdO-19Xdho,0.2515151515151515
qK8AcryiniI,0.0
KLZl_sxSN_g,0.0
QKwgif8OW1w,0.0
-JVITToppE0,0.0
sH0Agabp3Rs,0.13636363636363635
eijd-yjXY9E,0.0
fGTfbMioezc,0.0
8tbQHHso0oY,0.0
G8gJ4RTBxcg,0.0
fRj34o4hN4I,0.13636363636363635
coOKvrsmQiI,0.0
p8XP7A7kvzM,0.0
pOEzjT-SED0,0.0
p9wE8dyzEJE,0.0
duRDizP0gHQ,0.25
0O2IAz1E9Ts,0.7
TyHvyGVs42U,0.0
16W7c0mb-rE,-0.2928571428571428
nRafaCcfrcI,0.0
t1shnJT8NCY,0.425
ixxR3ZoqnF0,0.0
lJFqvRwOiis,-0.16666666666666666
9PhM-zCmTFs,-0.010101010101010102
vKbyfdJXoDg,0.0
Lxet1zLBTM8,0.625
TWpt-ze_cYU,0.0
Nz0qoOgyWSQ,0.2857142857142857
l3xmc0pzzJI,0.0
