video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,category_name
VID0000,2025-10-07,Sample Video 0,Channel 0,30,2025-11-06,Tag2,3364811,24136,17125,7781,https://img.youtube.com/vi/VID0000/default.jpg,0,0,1,Description for video 0,Gaming
VID0001,2025-04-22,Sample Video 1,Channel 1,10,2025-12-04,Tag5,3188778,276451,30214,39335,https://img.youtube.com/vi/VID0001/default.jpg,0,1,1,Description for video 1,Music
VID0002,2025-02-06,Sample Video 2,Channel 2,17,2025-08-28,Tag5,4076905,82428,42211,28324,https://img.youtube.com/vi/VID0002/default.jpg,1,0,0,Description for video 2,Film & Animation
VID0003,2025-08-25,Sample Video 3,Channel 3,15,2025-07-11,Tag9,1885051,410429,38098,10322,https://img.youtube.com/vi/VID0003/default.jpg,1,0,0,Description for video 3,Entertainment
VID0004,2025-02-24,Sample Video 4,Channel 4,17,2025-09-16,Tag1,2895447,474024,9193,4489,https://img.youtube.com/vi/VID0004/default.jpg,1,1,1,Description for video 4,Film & Animation
VID0005,2025-10-13,Sample Video 5,Channel 5,17,2025-11-02,Tag3,3820950,21567,36343,38896,https://img.youtube.com/vi/VID0005/default.jpg,0,1,1,Description for video 5,Film & Animation
VID0006,2025-04-01,Sample Video 6,Channel 6,10,2025-02-18,Tag1,4362858,211714,44188,32211,https://img.youtube.com/vi/VID0006/default.jpg,1,0,1,Description for video 6,Music
VID0007,2025-11-22,Sample Video 7,Channel 7,10,2025-06-27,Tag2,4715927,14315,28849,25973,https://img.youtube.com/vi/VID0007/default.jpg,0,1,1,Description for video 7,Music
VID0008,2025-08-23,Sample Video 8,Channel 8,15,2025-02-07,Tag2,2403896,388754,17126,48987,https://img.youtube.com/vi/VID0008/default.jpg,0,0,1,Description for video 8,Entertainment
VID0009,2025-01-19,Sample Video 9,Channel 9,15,2025-10-08,Tag1,1810627,231263,35380,46706,https://img.youtube.com/vi/VID0009/default.jpg,1,1,0,Description for video 9,Entertainment
VID0010,2025-06-04,Sample Video 10,Channel 10,15,2025-10-05,Tag5,2975409,248915,33891,15727,https://img.youtube.com/vi/VID0010/default.jpg,1,0,0,Description for video 10,Entertainment
VID0011,2025-08-20,Sample Video 11,Channel 11,15,2025-10-09,Tag3,944991,379904,13392,24817,https://img.youtube.com/vi/VID0011/default.jpg,1,0,0,Description for video 11,Entertainment
VID0012,2025-02-28,Sample Video 12,Channel 12,10,2025-04-09,Tag10,3895098,403878,38067,37661,https://img.youtube.com/vi/VID0012/default.jpg,1,0,0,Description for video 12,Music
VID0013,2025-05-25,Sample Video 13,Channel 13,10,2025-10-05,Tag8,3510235,257197,32809,240,https://img.youtube.com/vi/VID0013/default.jpg,1,1,0,Description for video 13,Music
VID0014,2025-12-09,Sample Video 14,Channel 14,17,2025-12-17,Tag4,718648,459042,24462,22679,https://img.youtube.com/vi/VID0014/default.jpg,0,1,0,Description for video 14,Film & Animation
VID0015,2025-10-26,Sample Video 15,Channel 15,30,2025-01-09,Tag7,4436864,450532,14630,42128,https://img.youtube.com/vi/VID0015/default.jpg,0,0,1,Description for video 15,Gaming
VID0016,2025-12-28,Sample Video 16,Channel 16,30,2025-08-22,Tag1,3452889,152200,46696,22778,https://img.youtube.com/vi/VID0016/default.jpg,0,1,1,Description for video 16,Gaming
VID0017,2025-05-01,Sample Video 17,Channel 17,22,2025-06-01,Tag6,1990340,142733,32585,3288,https://img.youtube.com/vi/VID0017/default.jpg,1,0,0,Description for video 17,People & Blogs
VID0018,2025-06-22,Sample Video 18,Channel 18,17,2025-08-18,Tag2,349929,165964,37058,6859,https://img.youtube.com/vi/VID0018/default.jpg,1,1,1,Description for video 18,Film & Animation
VID0019,2025-06-13,Sample Video 19,Channel 19,25,2025-11-01,Tag9,1918722,144561,23422,19598,https://img.youtube.com/vi/VID0019/default.jpg,1,0,0,Description for video 19,Sports
VID0020,2025-09-05,Sample Video 20,Channel 20,22,2025-09-14,Tag5,2733741,396875,41972,49393,https://img.youtube.com/vi/VID0020/default.jpg,1,0,0,Description for video 20,People & Blogs
VID0021,2025-07-28,Sample Video 21,Channel 21,22,2025-11-18,Tag4,795230,74808,11687,31531,https://img.youtube.com/vi/VID0021/default.jpg,0,0,1,Description for video 21,People & Blogs
